order_date,category,region,net_revenue,order_count,net_units_sold,gross_units_sold,average_order_value
2024-01-01,Accessories,South,49.95,1,1,1,49.95
2024-01-01,Electronics,East,74.97,2,3,3,37.48
2024-01-01,Electronics,West,2287.9,3,12,12,762.63
2024-01-01,Home & Office,West,29.99,1,1,1,29.99
2024-01-01,Kitchen,East,36.0,1,3,3,36.0
2024-01-01,Kitchen,South,30.0,1,4,4,30.0
2024-01-01,Stationery,North,21.0,2,6,6,10.5
2024-01-01,Unknown,East,30.0,1,2,2,30.0
2024-01-02,Accessories,West,49.95,1,1,1,49.95
2024-01-02,Electronics,East,74.97,1,3,3,74.97
2024-01-02,Electronics,North,44.95,1,5,5,44.95
2024-01-02,Electronics,West,-1099.0,1,-1,0,-1099.0
2024-01-02,Home & Office,Unknown,59.98,1,2,2,59.98
2024-01-02,Kitchen,South,24.0,1,2,2,24.0
2024-01-02,Kitchen,West,22.5,1,3,3,22.5
2024-01-02,Stationery,East,46.96,2,6,6,23.48
2024-01-02,Unknown,South,19.99,1,1,1,19.99
